ID,Genotype,Treatment,Branch,Leaf,Volumen of EFN in ug mean
3054,cp4-epsps,Inducción,2,1,4.333333333
3054,cp4-epsps,Inducción,2,2,0
3054,cp4-epsps,Inducción,2,3,0
3054,cp4-epsps,Inducción,2,4,0
3054,cp4-epsps,Inducción,2,5,0
3055,cp4-epsps,Control,1,1,0
3055,cp4-epsps,Control,1,2,0
3055,cp4-epsps,Control,1,3,1
3055,cp4-epsps,Control,1,4,0
3055,cp4-epsps,Control,1,5,2
3055,cp4-epsps,Control,2,1,56.66666667
3055,cp4-epsps,Control,2,2,22.66666667
3055,cp4-epsps,Control,2,3,4.666666667
3055,cp4-epsps,Control,2,4,0
3055,cp4-epsps,Control,2,5,0
3055,cp4-epsps,Inducción,1,1,0
3055,cp4-epsps,Inducción,1,2,15.33333333
3055,cp4-epsps,Inducción,1,3,10.66666667
3055,cp4-epsps,Inducción,1,4,10
3055,cp4-epsps,Inducción,1,5,2
3055,cp4-epsps,Inducción,2,1,23.66666667
3055,cp4-epsps,Inducción,2,2,0
3055,cp4-epsps,Inducción,2,3,26
3055,cp4-epsps,Inducción,2,4,3
3055,cp4-epsps,Inducción,2,5,14.33333333
3056,cp4-epsps,Control,1,1,2
3056,cp4-epsps,Control,1,2,2
3056,cp4-epsps,Control,1,3,45
3056,cp4-epsps,Control,1,4,0
3056,cp4-epsps,Control,1,5,18.66666667
3056,cp4-epsps,Control,2,1,14.66666667
3056,cp4-epsps,Control,2,2,0
3056,cp4-epsps,Control,2,3,8
3056,cp4-epsps,Control,2,4,0
3056,cp4-epsps,Control,2,5,0
3056,cp4-epsps,Inducción,1,1,2
3056,cp4-epsps,Inducción,1,2,0
3056,cp4-epsps,Inducción,1,3,34
3056,cp4-epsps,Inducción,1,4,4
3056,cp4-epsps,Inducción,1,5,1.333333333
3056,cp4-epsps,Inducción,2,1,8
3056,cp4-epsps,Inducción,2,2,24.66666667
3056,cp4-epsps,Inducción,2,3,12
3056,cp4-epsps,Inducción,2,4,18.66666667
3056,cp4-epsps,Inducción,2,5,32
3132,cp4-epsps,Control,1,1,5
3132,cp4-epsps,Control,1,2,3.333333333
3132,cp4-epsps,Control,1,3,14.66666667
3132,cp4-epsps,Control,1,4,0
3132,cp4-epsps,Control,1,5,0.666666667
3132,cp4-epsps,Control,2,1,6.666666667
3132,cp4-epsps,Control,2,2,0
3132,cp4-epsps,Control,2,3,0
3132,cp4-epsps,Control,2,4,8
3132,cp4-epsps,Control,2,5,1
3132,cp4-epsps,Inducción,1,1,0
3132,cp4-epsps,Inducción,1,2,12
3132,cp4-epsps,Inducción,1,3,7
3132,cp4-epsps,Inducción,1,4,6
3132,cp4-epsps,Inducción,1,5,0
3132,cp4-epsps,Inducción,2,1,0
3132,cp4-epsps,Inducción,2,2,2
3132,cp4-epsps,Inducción,2,3,0
3132,cp4-epsps,Inducción,2,4,1
3132,cp4-epsps,Inducción,2,5,30
3313,cp4-epsps,Control,2,1,4
3313,cp4-epsps,Control,2,2,3.333333333
3313,cp4-epsps,Control,2,3,0
3313,cp4-epsps,Control,2,4,0
3313,cp4-epsps,Control,2,5,8
3313,cp4-epsps,Inducción,1,1,5.333333333
3313,cp4-epsps,Inducción,1,2,0
3313,cp4-epsps,Inducción,1,3,16
3313,cp4-epsps,Inducción,1,4,4
3313,cp4-epsps,Inducción,1,5,6
3313,cp4-epsps,Inducción,2,1,16
3313,cp4-epsps,Inducción,2,2,18.66666667
3313,cp4-epsps,Inducción,2,3,2
3313,cp4-epsps,Inducción,2,4,4
3313,cp4-epsps,Inducción,2,5,3.333333333
